run_id,model,study,condition,frame,P_anchor,GR_anchor,P_post,GR_post,Reckless,Negligent,Blame,Punish
61437027,nano,3,flood_bad,juror,50.0,30.0,50.0,30.0,5.0,6.0,5.0,4.0
61437027,nano,3,hospital_backup_generator_good,juror,10.0,70.0,10.0,70.0,3.0,4.0,4.0,3.0
61437027,nano,3,ski_resort_avalanche_good,juror,5.0,90.0,5.0,90.0,1.0,1.0,1.0,1.0
61437027,nano,3,traffic_bad,juror,5.0,80.0,5.0,80.0,5.0,6.0,5.0,4.0
61437027,nano,3,flood_good,juror,50.0,30.0,50.0,30.0,4.0,4.0,4.0,3.0
61437027,nano,3,warehouse_fire_good,juror,0.0,80.0,0.0,80.0,2.0,5.0,4.0,3.0
61437027,nano,3,traffic_good,juror,5.0,90.0,5.0,90.0,3.0,4.0,4.0,3.0
61437027,nano,3,warehouse_fire_bad,juror,0.0,0.0,0.0,0.0,5.0,6.0,6.0,5.0
61437027,nano,3,ski_resort_avalanche_bad,juror,10.0,90.0,10.0,90.0,5.0,6.0,6.0,5.0
61437027,nano,3,hospital_backup_generator_bad,juror,10.0,80.0,10.0,80.0,5.0,6.0,6.0,5.0
61437027,nano,3,chemical_valve_leak_good,juror,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0
61437027,nano,3,datacenter_cooling_good,juror,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0
61437027,nano,3,swimming_pool_drain_bad,juror,50.0,20.0,50.0,20.0,5.0,6.0,6.0,5.0
61437027,nano,3,datacenter_cooling_bad,juror,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0
61437027,nano,3,swimming_pool_drain_good,juror,10.0,80.0,10.0,80.0,3.0,5.0,4.0,3.0
61437027,nano,3,chemical_valve_leak_bad,juror,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0
61437027,nano,3,drone_delivery_battery_good,juror,0.0,100.0,0.0,100.0,3.0,5.0,4.0,3.0
61437027,nano,3,movie_set_rigging_good,juror,50.0,70.0,50.0,70.0,3.0,5.0,4.0,3.0
61437027,nano,3,drone_delivery_battery_bad,juror,0.0,100.0,0.0,100.0,5.0,6.0,6.0,5.0
61437027,nano,3,movie_set_rigging_bad,juror,0.0,100.0,0.0,100.0,6.0,7.0,7.0,6.0
8c0ca548,nano,6,flood_expert_good,juror,30.0,20.0,5.0,60.0,3.0,5.0,4.0,3.0
8c0ca548,nano,6,hospital_backup_generator_expert_good,juror,20.0,70.0,20.0,70.0,4.0,5.0,5.0,4.0
8c0ca548,nano,6,traffic_expert_bad,juror,5.0,85.0,5.0,85.0,5.0,6.0,5.0,4.0
8c0ca548,nano,6,flood_expert_bad,juror,50.0,30.0,5.0,30.0,5.0,6.0,6.0,6.0
8c0ca548,nano,6,warehouse_fire_expert_bad,juror,10.0,90.0,4.0,90.0,5.0,6.0,6.0,5.0
