run_id,model,study,condition,P,GR,RA,BL,PU
003e428d,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
003e428d,nano,3,flood_bad,20.0,80.0,3.0,5.0,6.0
003e428d,nano,3,traffic_good,5.0,80.0,2.0,3.0,2.0
003e428d,nano,3,traffic_bad,10.0,80.0,2.0,5.0,4.0
1af7b586,haiku,3,flood_good,20.0,70.0,4.0,5.0,3.0
1af7b586,haiku,3,flood_bad,60.0,40.0,6.0,6.0,6.0
1af7b586,haiku,3,traffic_good,10.0,80.0,2.0,5.0,5.0
1af7b586,haiku,3,traffic_bad,30.0,80.0,2.0,6.0,5.0
a709dc5a,deepseek,3,flood_good,30.0,70.0,4.0,3.0,2.0
a709dc5a,deepseek,3,flood_bad,50.0,70.0,4.0,5.0,5.0
a709dc5a,deepseek,3,traffic_good,1.0,95.0,2.0,1.0,1.0
a709dc5a,deepseek,3,traffic_bad,10.0,80.0,4.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,3.0,2.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,3.0,2.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,90.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,90.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,5.0,4.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,3.0,2.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,75.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,3.0,2.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,90.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,3.0,2.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,75.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,3.0,2.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,3.0,2.0
ac0128a0,nano,3,flood_good,5.0,90.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,3.0,2.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,3.0,2.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,5.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,5.0,3.0
ac0128a0,nano,3,flood_good,5.0,90.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,75.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,70.0,2.0,3.0,2.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,80.0,2.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,90.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,5.0,70.0,3.0,5.0,4.0
ac0128a0,nano,3,flood_good,5.0,75.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,2.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,80.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_good,10.0,70.0,3.0,4.0,3.0
ac0128a0,nano,3,flood_bad,20.0,75.0,3.0,5.0,6.0
ac0128a0,nano,3,flood_bad,70.0,50.0,3.0,5.0,6.0
ac0128a0,nano,3,flood_bad,30.0,80.0,4.0,6.0,6.0
ac0128a0,nano,3,flood_bad,30.0,75.0,4.0,5.0,6.0
ac0128a0,nano,3,flood_bad,30.0,80.0,3.0,6.0,5.0
ac0128a0,nano,3,flood_bad,30.0,60.0,3.0,5.0,6.0
ac0128a0,nano,3,flood_bad,40.0,80.0,3.0,5.0,6.0
ac0128a0,nano,3,flood_bad,30.0,70.0,3.0,5.0,5.0
ac0128a0,nano,3,flood_bad,30.0,70.0,3.0,5.0,6.0
ac0128a0,nano,3,flood_bad,30.0,60.0,4.0,5.0,6.0
ac0128a0,nano,3,flood_bad,30.0,80.0,4.0,5.0,6.0
ac0128a0,nano,3,flood_bad,25.0,60.0,3.0,5.0,6.0
ac0128a0,nano,3,flood_bad,30.0,80.0,3.0,5.0,5.0
ac0128a0,nano,3,flood_bad,30.0,60.0,3.0,5.0,5.0
