model,DV,d_value,p_value,label
deepseek,P_post,-1.1254628677422736,0.0020948217639623844,d=-1.13*
deepseek,GR_post,0.6397114734243629,0.05456408052594746,"d=0.64, ns"
deepseek,Reckless,-13.324580460353882,3.124395016861621e-20,d=-13.32*
deepseek,Negligent,-inf,0.0,d=-inf*
deepseek,Blame,-7.653147500647471,3.2395227071951355e-23,d=-7.65*
deepseek,Punish,-8.185759993224005,1.179268916025227e-22,d=-8.19*
haiku,P_post,0.0,1.0,"d=0.00, ns"
haiku,GR_post,0.534410217536758,0.10299793208235744,"d=0.53, ns"
haiku,Reckless,-4.350030370887343,2.295991252870753e-13,d=-4.35*
haiku,Negligent,-4.865893862069237,3.5121076028725372e-12,d=-4.87*
haiku,Blame,-4.865893862069237,3.5121076028725372e-12,d=-4.87*
haiku,Punish,-6.298308951788084,2.3041278765210466e-17,d=-6.30*
nano,P_post,-0.7885544888073238,0.01917187509071758,d=-0.79*
nano,GR_post,0.12979711337466143,0.6837987511757555,"d=0.13, ns"
nano,Reckless,-1.7508093366592874,2.524798428857621e-06,d=-1.75*
nano,Negligent,-2.103606733760515,8.403501266860736e-08,d=-2.10*
nano,Blame,-2.4000000000000004,4.021616482456778e-09,d=-2.40*
nano,Punish,-2.799999999999999,9.108435368965262e-11,d=-2.80*
