model,DV,beta_interaction,t_value,p_value,ci_low,ci_high
deepseekr1,P_post,11.033333333333339,2.764739511768767,0.00662907890175416,3.1291865591476595,18.93748010751902
deepseekr1,GR_post,7.500000000000039,1.577549940000829,0.11739228636384452,-1.9163073012900895,16.916307301290168
deepseekr1,Reckless,0.19999999999999618,0.3654752517920491,0.715422254709378,-0.8838632671909934,1.2838632671909858
deepseekr1,Negligent,0.1333333333333308,0.3311988396640225,0.7410918533231354,-0.6640229232820216,0.9306895899486833
deepseekr1,Blame,0.3333333333333286,0.8960353180825866,0.3720895888127824,-0.4034776540811047,1.070144320747762
deepseekr1,Punish,-0.06666666666667329,-0.2145501014489511,0.8304948144699773,-0.6821020945840056,0.548768761250659
gpt4o,P_post,17.166666666666664,4.721031460278894,6.6182668211300946e-06,9.964692551261031,24.368640782072298
gpt4o,GR_post,-5.966666666666676,-1.2253526285544438,0.22292454483720825,-15.611021175244042,3.677687841910691
gpt4o,Reckless,-6.8833827526759706e-15,-2.914348511311385e-14,0.9999999999999768,-0.46780290043114947,0.4678029004311357
gpt4o,Negligent,-6.8833827526759706e-15,-2.4140679108252305e-14,0.9999999999999808,-0.5647482742076704,0.5647482742076566
gpt4o,Blame,0.03333333333332544,0.1439760126156809,0.8857692396211589,-0.42522129356608906,0.49188796023273995
gpt4o,Punish,-0.06666666666667487,-0.32682410608274465,0.744389908656659,-0.4706813370579567,0.33734800372460694
o1mini,P_post,11.500000000000037,2.256008866760211,0.025944153305466764,1.4037635164151876,21.59623648358489
o1mini,GR_post,-14.166666666666643,-2.323608140728825,0.02188806806482222,-26.24222617080551,-2.091107162527779
o1mini,Reckless,0.7666666666666666,1.836003129860814,0.06891817597255649,-0.06039071166514487,1.5937240449984782
o1mini,Negligent,0.6666666666666639,1.5383046086362164,0.12669751448703626,-0.19169215741558454,1.5250254907489122
o1mini,Blame,0.8999999999999971,2.2012539922070817,0.02969778175152128,0.09020548810259654,1.7097945118973978
o1mini,Punish,0.5333333333333294,1.3915311329989497,0.1667272008672388,-0.2257828969179293,1.2924495635845883
o4mini,P_post,3.3333333333333046,0.9601344759195748,0.3389845676016632,-3.542877072946723,10.209543739613332
o4mini,GR_post,2.999999999999993,0.49639421535263595,0.6205556402616713,-8.97007906921462,14.970079069214606
o4mini,Reckless,0.46666666666667267,0.7806912810195419,0.43657433599745776,-0.7172739727848646,1.6506073061182098
o4mini,Negligent,-0.033333333333326554,-0.1092660495119701,0.9131802695846205,-0.6375545625470593,0.5708878958804062
o4mini,Blame,0.16666666666667385,0.5749759605593836,0.5664210890276061,-0.4074518293765079,0.7407851627098556
o4mini,Punish,9.992007221626409e-15,3.2480635383701834e-14,0.9999999999999741,-0.609299328223461,0.609299328223481
sonnet4,P_post,14.666666666666682,3.2846987857857557,0.0013502492482026084,5.822878160216039,23.510455173117325
sonnet4,GR_post,-4.499999999999989,-0.8227273077036037,0.4123511448695003,-15.333257784751478,6.333257784751499
sonnet4,Reckless,0.03333333333333044,0.116930730994941,0.9071171550350208,-0.5312818553831007,0.5979485220497616
sonnet4,Negligent,0.5999999999999972,2.066617790233365,0.04099603145352677,0.024965948192979592,1.1750340518070148
sonnet4,Blame,-3.3306690738754696e-15,-1.2564698520858537e-14,0.99999999999999,-0.5250273026635498,0.5250273026635431
sonnet4,Punish,0.06666666666666132,0.21794964441824574,0.8278512842699592,-0.5391692999272106,0.6725026332605333
